"contagios","trafico","mes","anio"
"0","21437","enero","2004"
"0","17418","febrero","2004"
"0","18757","marzo","2004"
"0","9646","abril","2004"
"0","8039","mayo","2004"
"0","14470","junio","2004"
"0","14738","julio","2004"
"0","12862","agosto","2004"
"0","6431","septiembre","2004"
"0","1607","octubre","2004"
"0","3215","noviembre","2004"
"0","32156","diciembre","2004"
"0","22195","enero","2005"
"0","18033","febrero","2005"
"0","19420","marzo","2005"
"0","9987","abril","2005"
"0","8323","mayo","2005"
"0","16646","junio","2005"
"0","15259","julio","2005"
"0","8323","agosto","2005"
"0","6658","septiembre","2005"
"0","3329","octubre","2005"
"0","3329","noviembre","2005"
"0","34957","diciembre","2005"
"0","21621","enero","2006"
"0","20368","febrero","2006"
"0","21935","marzo","2006"
"0","11280","abril","2006"
"0","9400","mayo","2006"
"0","20681","junio","2006"
"0","18801","julio","2006"
"0","9400","agosto","2006"
"0","7520","septiembre","2006"
"0","3760","octubre","2006"
"0","3760","noviembre","2006"
"0","39483","diciembre","2006"
"0","26524","enero","2007"
"0","21551","febrero","2007"
"0","23209","marzo","2007"
"0","11936","abril","2007"
"0","9946","mayo","2007"
"0","19893","junio","2007"
"0","18235","julio","2007"
"0","9946","agosto","2007"
"0","7957","septiembre","2007"
"0","3978","octubre","2007"
"0","3978","noviembre","2007"
"0","41776","diciembre","2007"
"0","28322","enero","2008"
"0","23011","febrero","2008"
"0","24781","marzo","2008"
"0","12744","abril","2008"
"0","10620","mayo","2008"
"0","21241","junio","2008"
"0","19117","julio","2008"
"0","10620","agosto","2008"
"0","10974","septiembre","2008"
"0","4248","octubre","2008"
"0","2124","noviembre","2008"
"0","44607","diciembre","2008"
"0","29830","enero","2009"
"0","24237","febrero","2009"
"0","26101","marzo","2009"
"0","13423","abril","2009"
"0","11186","mayo","2009"
"0","22373","junio","2009"
"0","20508","julio","2009"
"0","11186","agosto","2009"
"0","8949","septiembre","2009"
"0","4474","octubre","2009"
"0","4474","noviembre","2009"
"0","46983","diciembre","2009"
"0","35658","enero","2010"
"0","24069","febrero","2010"
"0","31201","marzo","2010"
"0","16046","abril","2010"
"0","13371","mayo","2010"
"0","29418","junio","2010"
"0","26743","julio","2010"
"0","13371","agosto","2010"
"0","10697","septiembre","2010"
"0","5348","octubre","2010"
"0","5348","noviembre","2010"
"0","56161","diciembre","2010"
"0","35701","enero","2011"
"0","25883","febrero","2011"
"0","24098","marzo","2011"
"0","5355","abril","2011"
"0","16065","mayo","2011"
"0","26776","junio","2011"
"0","37486","julio","2011"
"0","21420","agosto","2011"
"0","8032","septiembre","2011"
"0","2677","octubre","2011"
"0","5355","noviembre","2011"
"0","58907","diciembre","2011"
"0","37174","enero","2012"
"0","30204","febrero","2012"
"0","32527","marzo","2012"
"0","13940","abril","2012"
"0","13940","mayo","2012"
"0","27880","junio","2012"
"0","25557","julio","2012"
"0","16728","agosto","2012"
"0","11152","septiembre","2012"
"0","5576","octubre","2012"
"0","5576","noviembre","2012"
"0","58549","diciembre","2012"
"0","37773","enero","2013"
"0","30691","febrero","2013"
"0","33052","marzo","2013"
"0","16998","abril","2013"
"0","14165","mayo","2013"
"0","28330","junio","2013"
"0","25969","julio","2013"
"0","14165","agosto","2013"
"0","11332","septiembre","2013"
"0","5666","octubre","2013"
"0","5666","noviembre","2013"
"0","59493","diciembre","2013"
"0","39581","enero","2014"
"0","23748","febrero","2014"
"0","32654","marzo","2014"
"0","14843","abril","2014"
"0","17811","mayo","2014"
"0","41560","junio","2014"
"0","27212","julio","2014"
"0","14843","agosto","2014"
"0","11874","septiembre","2014"
"0","4452","octubre","2014"
"0","5937","noviembre","2014"
"0","62340","diciembre","2014"
"0","40533","enero","2015"
"0","32933","febrero","2015"
"0","35467","marzo","2015"
"0","18240","abril","2015"
"0","15200","mayo","2015"
"0","30400","junio","2015"
"0","27866","julio","2015"
"0","15200","agosto","2015"
"0","12160","septiembre","2015"
"0","6080","octubre","2015"
"0","6080","noviembre","2015"
"0","63840","diciembre","2015"
"0","39430","enero","2016"
"0","32037","febrero","2016"
"0","34501","marzo","2016"
"0","17743","abril","2016"
"0","11829","mayo","2016"
"0","29573","junio","2016"
"0","27108","julio","2016"
"0","20701","agosto","2016"
"0","11829","septiembre","2016"
"0","5914","octubre","2016"
"0","2957","noviembre","2016"
"0","62103","diciembre","2016"
"0","38186","enero","2017"
"0","31026","febrero","2017"
"0","33412","marzo","2017"
"0","17183","abril","2017"
"0","14319","mayo","2017"
"0","28639","junio","2017"
"0","26253","julio","2017"
"0","14319","agosto","2017"
"0","11455","septiembre","2017"
"0","5727","octubre","2017"
"0","5727","noviembre","2017"
"0","60143","diciembre","2017"
"0","39792","enero","2018"
"0","32331","febrero","2018"
"0","34818","marzo","2018"
"0","11937","abril","2018"
"0","14922","mayo","2018"
"0","35812","junio","2018"
"0","29844","julio","2018"
"0","14922","agosto","2018"
"0","11937","septiembre","2018"
"0","5968","octubre","2018"
"0","3481","noviembre","2018"
"0","62672","diciembre","2018"
"0","41776","enero","2019"
"0","33943","febrero","2019"
"0","36554","marzo","2019"
"0","18799","abril","2019"
"0","15666","mayo","2019"
"0","31332","junio","2019"
"0","28721","julio","2019"
"0","15666","agosto","2019"
"0","12532","septiembre","2019"
"0","6266","octubre","2019"
"0","6266","noviembre","2019"
"0","65797","diciembre","2019"
"0","57903","enero","2020"
"0","10635","febrero","2020"
"906","1181","marzo","2020"
"5603","1181","abril","2020"
"22883","1181","mayo","2020"
"68484","2363","junio","2020"
"197723","3545","julio","2020"
"319684","2363","agosto","2020"
"214651","7090","septiembre","2020"
"244580","2363","octubre","2020"
"242697","3545","noviembre","2020"
"326069","24815","diciembre","2020"
"452248","28620","enero","2021"
"156855","23254","febrero","2021"
"154734","25043","marzo","2021"
"453486","12879","abril","2021"
"546900","10732","mayo","2021"
"834783","21465","junio","2021"
"544506","19676","julio","2021"
"123804","10732","agosto","2021"
"48206","8586","septiembre","2021"
"45123","4293","octubre","2021"
"67278","4293","noviembre","2021"
"87823","45077","diciembre","2021"
